Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Electricity:Facility [J](Hourly)
 01/01  01:00:00,6.058333333,47.58333333,2.308333333,0,0,864359061.7
 01/01  02:00:00,5.6,50.66666667,2.391666667,0,0,862803367.7
 01/01  03:00:00,5.25,47.83333333,2.308333333,0,0,864385446.4
 01/01  04:00:00,5.641666667,42.91666667,2.1,0,0,862817195.9
 01/01  05:00:00,6.1,38.83333333,2.1,0,0,908395380.5
 01/01  06:00:00,6.1,40.91666667,2.1,0,0,994836143.5
 01/01  07:00:00,6.1,42.41666667,2.1,0,0,1172422440
 01/01  08:00:00,6.1,39.08333333,0.875,10.5,15.5,1166572869
 01/01  09:00:00,6.45,37.58333333,0.875,40.75,205.6666667,1075855757
 01/01  10:00:00,8.275,35.08333333,1.85,34.5,775.75,942257410.4
 01/01  11:00:00,11.03333333,28.33333333,0.875,54.16666667,900.75,767802655
 01/01  12:00:00,13.19166667,22.66666667,0.875,71.58333333,938.25,974643096
 01/01  13:00:00,15.18333333,18.08333333,2.725,93.58333333,914.6666667,1122052467
 01/01  14:00:00,16.45,16.58333333,3.6,177.5833333,636.8333333,1023354313
 01/01  15:00:00,16.99166667,17.58333333,2.725,239.75,178,760002488.7
 01/01  16:00:00,17.2,18,1.75,167.6666667,26,759999299.5
 01/01  17:00:00,16.90833333,19.16666667,1.85,68.58333333,20.16666667,935998939.9
 01/01  18:00:00,15.35833333,23.5,0.875,7.583333333,3.75,1191027469
 01/01  19:00:00,13.11666667,30.08333333,0.875,0,0,1252541880
 01/01  20:00:00,11.55833333,35.91666667,1.5,0,0,1164542061
 01/01  21:00:00,10.80833333,36.83333333,0.625,0,0,1164542053
 01/01  22:00:00,9.608333333,38.91666667,0,0,0,1081215317
 01/01  23:00:00,8.55,36.91666667,1.516666667,0,0,996333191.7
 01/01  24:00:00,7.366666667,37.5,2.6,0,0,906782940.8
 01/02  01:00:00,6.35,38.25,2.308333333,0,0,1043782909
 01/02  02:00:00,5.808333333,37.58333333,2.1,0,0,1042227128
 01/02  03:00:00,5.25,38,2.683333333,0,0,1043811500
 01/02  04:00:00,5.35,36.83333333,2.808333333,0,0,1042249176
 01/02  05:00:00,5.25,38.33333333,2.308333333,0,0,1087832132
 01/02  06:00:00,4.358333333,42.91666667,0.875,0,0,1263980201
 01/02  07:00:00,4.191666667,42.66666667,0,0,0,1559208353
 01/02  08:00:00,4.4,42.16666667,0,8.666666667,109.5,1910015624
 01/02  09:00:00,6.383333333,38.91666667,0,36.66666667,527.5,3785123556
 01/02  10:00:00,9.433333333,33.08333333,0,63.5,643.1666667,3651958770
 01/02  11:00:00,11.53333333,30.41666667,0,110.6666667,663.9166667,3475483912
 01/02  12:00:00,13.48333333,28.83333333,1.516666667,114.0833333,821.0833333,3845793483
 01/02  13:00:00,15.1,26.83333333,1.083333333,194.75,654.1666667,3764348583
 01/02  14:00:00,15.89166667,26,0,254.8333333,447.75,3997632020
 01/02  15:00:00,16.74166667,26,0.875,201,510.3333333,4060057769
 01/02  16:00:00,16.90833333,26.58333333,2.141666667,151.6666667,192.6666667,4060638007
 01/02  17:00:00,16.05833333,28.75,3.475,81.08333333,31.75,4178219304
 01/02  18:00:00,14.60833333,32.33333333,1.708333333,8.916666667,2.5,3803519129
 01/02  19:00:00,12.90833333,36.33333333,1.808333333,0,0,3050239358
 01/02  20:00:00,11.26666667,42.08333333,1.291666667,0,0,2624189952
 01/02  21:00:00,10.25,45.58333333,0,0,0,2086323448
 01/02  22:00:00,9.65,46,0,0,0,1998516678
 01/02  23:00:00,9.108333333,48.33333333,0,0,0,1257683939
 01/02  24:00:00,8.55,47.66666667,0.875,0,0,1079970804
 01/03  01:00:00,8.008333333,46,1.85,0,0,1035970896
 01/03  02:00:00,7.158333333,48.91666667,1.75,0,0,1035970893
 01/03  03:00:00,6.7,48.66666667,2.141666667,0,0,1035970893
 01/03  04:00:00,6.35,47,1.083333333,0,0,1035970892
 01/03  05:00:00,5.808333333,53.41666667,0,0,0,1079970807
 01/03  06:00:00,5.25,63.83333333,0.875,0,0,1257688756
 01/03  07:00:00,5,68,1.85,0,0,1553166223
 01/03  08:00:00,5,68,0.875,8.166666667,108.8333333,1905555246
 01/03  09:00:00,5.641666667,66.25,1.516666667,38.75,536,3783955573
 01/03  10:00:00,7.733333333,57.41666667,3.475,53.25,735,3651473967
 01/03  11:00:00,10.18333333,47.91666667,3.516666667,94.16666667,778.0833333,3475176103
 01/03  12:00:00,12.09166667,41.5,2.516666667,125.8333333,762.9166667,3585011191
 01/03  13:00:00,14.08333333,35.5,0.875,142.5833333,721.5,3706443859
 01/03  14:00:00,15.35,32.41666667,0,192,434.1666667,3967605795
 01/03  15:00:00,15.6,32,0,197.6666667,55.75,3971776540
 01/03  16:00:00,15.6,32,0.875,109.1666667,1.666666667,3972070861
 01/03  17:00:00,15.25,34.33333333,1.85,38.41666667,0,4127703801
 01/03  18:00:00,14.65,37.75,2.1,3.916666667,0,3808254614
